Year,Month,Payment Instrument Type,Card Type,Response,Transaction ID
2023,01,Credit Card,Visa,Approved,pnx1geh5
2023,01,Credit Card,Visa,Approved,qtgva2e7
2023,01,Credit Card,American Express,Approved,r697kg2b
2023,01,Credit Card,American Express,Approved,rd8hxdqx
2023,02,Credit Card,Visa,Approved,08sxdbya
2023,02,Credit Card,Visa,Approved,0dqj88eb
2023,02,Apple Pay Card,Visa,Approved,0dwp3af4
2023,02,Credit Card,Visa,Declined,0ztvs05c
2023,01,Credit Card,American Express,Approved,18by4zev
2023,01,Credit Card,American Express,Approved,1xh0a4fk
2023,02,Credit Card,Visa,Declined,2k2qxpka
2023,02,Credit Card,Visa,Approved,3vt144dh
2023,01,Credit Card,American Express,Approved,4qdjnm5p
2023,02,Credit Card,Visa,Approved,4yebjg3y
2023,01,Credit Card,American Express,Approved,4zea83ty
2023,01,Credit Card,American Express,Approved,516w3tdd
2023,01,Credit Card,Visa,Approved,53m6g5pj
2023,01,Credit Card,American Express,Approved,59dp983t
2023,01,Credit Card,Visa,Approved,5czvzfat
2023,01,Credit Card,American Express,Approved,5ekgqjw3
2023,02,Credit Card,Visa,Declined,5pcz5pzx
2023,02,Credit Card,Visa,Approved,7jepbtbh
2023,01,Credit Card,American Express,Approved,7jjpbk5t
2023,02,Credit Card,Visa,Approved,8f9secqm
2023,01,Credit Card,American Express,Approved,aebrtpf4
2023,02,Apple Pay Card,MasterCard,Approved,aejkk8jm
2023,02,Credit Card,MasterCard,Approved,at7tkjf5
2023,01,PayPal Account,PayPal Account,Approved,bye4j639
2023,01,Credit Card,American Express,Approved,c06ktzkd
2023,02,Apple Pay Card,MasterCard,Approved,c93z9trc
2023,01,PayPal Account,PayPal Account,Approved,cmm7kp9h
2023,02,Credit Card,Visa,Approved,cr38795v
2023,01,Credit Card,Visa,Approved,d9tx81sf
2023,02,Credit Card,Visa,Approved,dfp49brw
2023,01,PayPal Account,PayPal Account,Approved,dgd9742z
2023,02,Apple Pay Card,Visa,Approved,dnkrgq28
2023,02,Credit Card,Visa,Approved,dw07gvpd
2023,02,Credit Card,MasterCard,Approved,e43ybx22
2023,01,PayPal Account,PayPal Account,Approved,ef1dt5h4
2023,01,Credit Card,American Express,Approved,egb3j04x
2023,02,Credit Card,Visa,Declined,f433anxa
2023,02,Credit Card,Visa,Declined,fm8995ch
2023,02,Credit Card,Visa,Approved,g56pw14d
2023,01,Credit Card,American Express,Approved,gnz38qwv
2023,02,Credit Card,Visa,Approved,gr77cw10
2023,02,Credit Card,MasterCard,Approved,hkgzgjdv
2023,01,Credit Card,American Express,Approved,j38a011q
2023,01,Credit Card,American Express,Approved,jfn6sb0y
2023,01,Credit Card,American Express,Approved,kwqebe2f
2023,01,Credit Card,Visa,Approved,kyf9rj38
2023,02,Credit Card,Visa,Declined,mj45njrg
2023,01,Credit Card,American Express,Approved,mp4r5h5x
2023,02,Credit Card,Visa,Approved,mt00ptw4
2023,02,Credit Card,Visa,Approved,n2agwvyq
2023,01,Credit Card,Visa,Approved,n3j5tztv
2023,01,Credit Card,American Express,Approved,njcf6tw0
2023,01,Credit Card,American Express,Approved,njmem2x2
2023,02,Credit Card,MasterCard,Approved,nq6a84ry
2023,02,Credit Card,Visa,Approved,ntte2vgs
2023,01,Credit Card,American Express,Approved,p2k7bs90
2023,02,Credit Card,Visa,Approved,psjyz92m
2023,02,Credit Card,Visa,Approved,q31arjhy
2023,01,Credit Card,American Express,Approved,qs0ntkqm
2023,02,Credit Card,Visa,Approved,0df9mzsc
2023,01,Credit Card,American Express,Approved,12039x5e
2023,01,Credit Card,American Express,Approved,14bw9dr4
2023,02,Credit Card,MasterCard,Approved,1s7b2z2f
2023,01,Credit Card,American Express,Approved,2at1hdn4
2023,02,Apple Pay Card,Visa,Approved,3q2395tq
2023,01,Credit Card,MasterCard,Declined,4fwxcvtf
2023,02,Credit Card,Visa,Approved,54rsq59y
2023,01,Credit Card,American Express,Approved,6qzw029t
2023,02,Credit Card,MasterCard,Approved,7ps6r99q
2023,01,Credit Card,Visa,Approved,8366gdbz
2023,01,Credit Card,Visa,Approved,8nwn94kf
2023,02,Credit Card,Visa,Approved,956pv1cc
2023,02,Credit Card,Visa,Approved,9ja1rqrg
2023,01,Credit Card,American Express,Approved,9ms21en2
2023,01,Credit Card,MasterCard,Approved,b6z5t10e
2023,02,Credit Card,Visa,Approved,cc36xetq
2023,02,Credit Card,Visa,Approved,ck35wayj
2023,02,Apple Pay Card,Visa,Approved,cvara5w9
2023,01,Credit Card,American Express,Approved,dj5qgjx3
2023,01,Credit Card,MasterCard,Declined,dydfy9hx
2023,02,Credit Card,MasterCard,Approved,f6hn8van
2023,01,Credit Card,MasterCard,Approved,f9n465x5
2023,01,PayPal Account,PayPal Account,Approved,g7scwen2
2023,02,Credit Card,MasterCard,Approved,gesnnbzh
2023,01,Credit Card,American Express,Approved,gjftb6gh
2023,02,Credit Card,Visa,Approved,h1g8v0k6
2023,01,Credit Card,American Express,Approved,hkqh3x89
2023,02,Credit Card,Visa,Approved,hvd92ga0
2023,01,Credit Card,Visa,Declined,kn775kqr
2023,02,Credit Card,Visa,Approved,kzx1s7tj
2023,01,Credit Card,American Express,Approved,nc819570
2023,01,Credit Card,American Express,Approved,nwrserm0
2023,02,Credit Card,Visa,Approved,pb4s84ts
2023,02,Credit Card,Visa,Approved,pc3tq8y1
2023,01,Apple Pay Card,American Express,Approved,pcybdtb0
2023,02,Credit Card,Visa,Approved,qq1grp79
2023,02,Credit Card,Visa,Approved,r27h0hm7
2023,02,Credit Card,MasterCard,Approved,r77px7t3
2023,02,Apple Pay Card,Visa,Approved,rg7ccfgq
2023,02,Apple Pay Card,Visa,Approved,rqf3q4nc
2023,02,Credit Card,American Express,Approved,11xywnrp
2023,02,Credit Card,Visa,Approved,1rfq21bh
2023,02,PayPal Account,PayPal Account,Approved,1y92qjpm
2023,02,PayPal Account,PayPal Account,Approved,2aefdg0r
2023,02,Credit Card,MasterCard,Approved,2tx56dks
2023,02,Credit Card,Visa,Approved,2zpmnrmg
2023,02,Credit Card,Visa,Approved,6q54ms65
2023,02,Credit Card,American Express,Declined,7yz61n7p
2023,02,Credit Card,MasterCard,Declined,8cr701we
2023,02,PayPal Account,PayPal Account,Approved,9c731jqn
2023,02,Credit Card,MasterCard,Declined,9qt556mz
2023,02,PayPal Account,PayPal Account,Approved,ay73wcrb
2023,02,Credit Card,Visa,Approved,g4nk2bpy
2023,02,PayPal Account,PayPal Account,Approved,gccfky8d
2023,02,Credit Card,Visa,Approved,gpq960h1
2023,02,Credit Card,MasterCard,Approved,k4jnknxs
2023,02,Apple Pay Card,MasterCard,Approved,kx7j6x1g
2023,02,Credit Card,MasterCard,Approved,mnsnvjp2
2023,02,Credit Card,Visa,Approved,p1pk4nx7
2023,02,Credit Card,Visa,Approved,papes6r2
2023,02,Credit Card,American Express,Declined,pr9frfgz
2023,02,Apple Pay Card,MasterCard,Approved,py70393m
2023,02,Credit Card,MasterCard,Declined,qbd4d5be
2023,02,Credit Card,MasterCard,Declined,qkk2cq0v
2023,02,Credit Card,American Express,Approved,04gaab0d
2023,02,Credit Card,American Express,Approved,060mdamt
2023,02,Credit Card,Visa,Approved,0d79rmtv
2023,02,Credit Card,American Express,Approved,0phyc248
2023,02,Credit Card,American Express,Approved,0qw81cda
2023,02,PayPal Account,PayPal Account,Approved,0xpavf7g
2023,02,PayPal Account,PayPal Account,Declined,1wcm9ajw
2023,02,Credit Card,Visa,Approved,1ypc2b89
2023,02,Credit Card,American Express,Approved,25kykkt6
2023,02,Credit Card,Visa,Approved,272yggp0
2023,02,Credit Card,MasterCard,Declined,27vhd77f
2023,02,Credit Card,Discover,Declined,320jdkdv
2023,02,Credit Card,Visa,Approved,36ykqnh7
2023,02,Credit Card,Visa,Approved,3mqx19jq
2023,02,Credit Card,Discover,Declined,3npak3mw
2023,02,Apple Pay Card,MasterCard,Approved,3t9qdw2p
2023,02,Credit Card,Visa,Declined,450xr6xx
2023,02,Apple Pay Card,Visa,Approved,4bk9gqye
2023,02,Credit Card,Discover,Approved,4n64vz6v
2023,02,Credit Card,Visa,Approved,4q8kvdpa
2023,02,Credit Card,MasterCard,Approved,57dats90
2023,02,Credit Card,American Express,Approved,5b5n4g3y
2023,02,PayPal Account,PayPal Account,Approved,5pq399bd
2023,02,Credit Card,American Express,Approved,69btp4mw
2023,02,Credit Card,MasterCard,Approved,71brk0s8
2023,02,Credit Card,Visa,Approved,79y4kr6v
2023,02,Credit Card,Discover,Approved,7mw3wbfe
2023,02,Credit Card,American Express,Approved,839h5q9n
2023,02,Apple Pay Card,Visa,Approved,8aj83bkj
2023,02,Credit Card,American Express,Approved,8pwwq89z
2023,02,Credit Card,MasterCard,Approved,8s379gbg
2023,02,Apple Pay Card,Visa,Approved,8sxa7js4
2023,02,Credit Card,American Express,Approved,98m170nx
2023,02,Credit Card,Visa,Approved,9c2wqxtw
2023,02,Credit Card,Visa,Approved,9dpysb5b
2023,02,Credit Card,MasterCard,Approved,9vzj0cw1
2023,02,Credit Card,American Express,Approved,9x8v06f1
2023,02,Credit Card,MasterCard,Approved,a6nxk7dn
2023,02,PayPal Account,PayPal Account,Approved,a76r8pd5
2023,02,Credit Card,American Express,Approved,a9w5a5t2
2023,02,Credit Card,Visa,Approved,ahq0h44m
2023,02,Credit Card,Visa,Approved,bemas5sg
2023,02,Credit Card,American Express,Approved,bqsb0b68
2023,02,PayPal Account,PayPal Account,Approved,cbqm6ryz
2023,02,Credit Card,American Express,Approved,d5dng5p0
2023,01,PayPal Account,PayPal Account,Approved,d5n3pbqw
2023,02,Credit Card,Visa,Declined,d68p3cz0
2023,02,Credit Card,American Express,Approved,d6ebh7de
2023,02,Credit Card,Visa,Approved,de3d7ft4
2023,02,Credit Card,American Express,Approved,dmefq028
2023,02,Credit Card,Visa,Approved,evy5h6bg
2023,02,Credit Card,American Express,Approved,fbt9mhbh
2023,02,Credit Card,American Express,Approved,fd1vqvpx
2023,02,Credit Card,American Express,Approved,gfcs342j
2023,02,Credit Card,Visa,Approved,gqzsk9gj
2023,02,Credit Card,Visa,Approved,gwsx3jy8
2023,02,Credit Card,American Express,Approved,h13cqphz
2023,02,Credit Card,MasterCard,Declined,h40ybv06
2023,02,PayPal Account,PayPal Account,Approved,hhj562w2
2023,02,Credit Card,Visa,Approved,k58s0fh6
2023,02,Credit Card,Visa,Approved,ka0qj8sq
2023,02,Credit Card,Visa,Approved,kzhwdvj4
2023,02,Credit Card,Visa,Approved,maepbtxs
2023,02,Apple Pay Card,American Express,Approved,ms5bw006
2023,02,Credit Card,Visa,Approved,mtd1ak9w
2023,02,Credit Card,American Express,Approved,n8ke07n5
2023,02,Credit Card,Visa,Approved,n9fgf7cz
2023,02,Credit Card,Visa,Approved,nq9nyqff
2023,02,Apple Pay Card,Visa,Approved,nqgydchs
2023,02,Credit Card,Visa,Approved,p1pcrzms
2023,02,Credit Card,American Express,Approved,p34zr5dr
2023,02,Credit Card,MasterCard,Approved,pd230sff
2023,02,Credit Card,MasterCard,Approved,pzw61rb3
2023,02,Credit Card,Visa,Approved,q2nz0qs1
2023,02,Credit Card,American Express,Approved,qtk4zvn6
2023,02,Credit Card,MasterCard,Approved,rc1n7yzz
2023,02,Credit Card,Visa,Approved,0998vtqr
2023,02,Credit Card,Visa,Approved,0pd2w9c9
2023,02,Credit Card,Visa,Approved,0t0bd9z5
2023,02,Apple Pay Card,MasterCard,Approved,0wa211tv
2023,02,Apple Pay Card,Visa,Approved,1t5fzcfn
2023,02,Apple Pay Card,Visa,Approved,23c9j62c
2023,02,Credit Card,American Express,Approved,2bhfc1sc
2023,02,Credit Card,Visa,Approved,4f0k1htd
2023,02,Credit Card,Visa,Approved,4k82xh88
2023,02,Credit Card,American Express,Approved,4nf8zv3h
2023,02,Credit Card,Visa,Approved,54zg74cg
2023,01,PayPal Account,PayPal Account,Approved,5ge31sp9
2023,02,Credit Card,Visa,Approved,6pt2ra7x
2023,02,Credit Card,Visa,Approved,7fx8c3py
2023,02,Credit Card,Visa,Approved,8c965gdt
2023,02,Credit Card,American Express,Approved,8y3jznf0
2023,02,Credit Card,MasterCard,Approved,9drna06c
2023,02,Apple Pay Card,Visa,Approved,9vxz29h2
2023,02,Credit Card,American Express,Approved,a8cbbgzv
2023,02,Credit Card,Visa,Approved,a9q7yb23
2023,02,Credit Card,Visa,Approved,ax7ywdsf
2023,02,Credit Card,MasterCard,Approved,ayr5zyp5
2023,02,Credit Card,MasterCard,Approved,bwf58hdx
2023,02,Credit Card,Visa,Approved,c6j16mgg
2023,02,Apple Pay Card,Visa,Approved,cn1qwaz0
2023,02,Credit Card,American Express,Approved,d259es1t
2023,02,PayPal Account,PayPal Account,Approved,d365y6v5
2023,02,Credit Card,Visa,Approved,ddrk0k8y
2023,02,Credit Card,American Express,Approved,dn8wb347
2023,02,Credit Card,MasterCard,Approved,dsz86ywg
2023,02,Credit Card,Visa,Approved,e29a6djq
2023,02,Credit Card,MasterCard,Approved,e600y11c
2023,02,Credit Card,Visa,Approved,e6hdmsy1
2023,02,Credit Card,Visa,Approved,f8nr9rdc
2023,02,Credit Card,Visa,Approved,fdaagyy2
2023,02,Credit Card,Visa,Approved,ftmbf95s
2023,02,Credit Card,American Express,Declined,g5zt3g0x
2023,02,Credit Card,MasterCard,Declined,gks5m361
2023,02,Credit Card,Visa,Approved,gy5x8n5c
2023,02,Credit Card,MasterCard,Approved,h4pphmae
2023,02,Credit Card,Visa,Approved,h4wtyjnd
2023,02,Credit Card,Visa,Approved,h7qm0wy1
2023,02,Credit Card,MasterCard,Approved,hh94pjvc
2023,02,Credit Card,MasterCard,Declined,j711rskz
2023,02,Credit Card,Visa,Approved,j79ghwv4
2023,02,Credit Card,Visa,Approved,j90ksghp
2023,02,Credit Card,Visa,Approved,kczgp46g
2023,02,Credit Card,Visa,Approved,kj3nhszq
2023,02,Apple Pay Card,Visa,Approved,kjb9dybf
2023,02,Credit Card,American Express,Approved,kkjtrs2r
2023,02,Credit Card,MasterCard,Approved,md2hc82n
2023,02,Credit Card,MasterCard,Approved,n52cdbq8
2023,02,Credit Card,Visa,Approved,p0vnvq42
2023,02,Credit Card,American Express,Approved,paf8geev
2023,02,Credit Card,MasterCard,Approved,pw4ca2jy
2023,02,Credit Card,Visa,Approved,q1hz46c1
2023,02,Credit Card,Visa,Approved,q55rcpkg
2023,02,Credit Card,Visa,Approved,qax0b8vj
2023,02,Credit Card,Visa,Approved,qhg83a8a
2023,02,Apple Pay Card,American Express,Approved,ra2rf9ew
2023,02,Credit Card,Visa,Approved,rdar9r6g
2023,02,Apple Pay Card,Visa,Approved,rfdmjp3b
2023,02,Credit Card,American Express,Approved,0x4x3hex
2023,02,Credit Card,Visa,Approved,1713f42y
2023,02,Credit Card,American Express,Approved,1mksw6bf
2023,02,Credit Card,MasterCard,Approved,31990bp8
2023,02,Credit Card,MasterCard,Approved,3qa5bwjv
2023,02,Credit Card,Visa,Approved,3v2s5pft
2023,02,Credit Card,Visa,Approved,3vbf9tnd
2023,02,Credit Card,MasterCard,Approved,4690dnqj
2023,02,Credit Card,American Express,Approved,4wv0vkaa
2023,02,Credit Card,American Express,Approved,610tw40x
2023,02,Credit Card,MasterCard,Approved,689e76mr
2023,02,Credit Card,Visa,Approved,7s931wnz
2023,02,Credit Card,Visa,Approved,97e0bbew
2023,02,Credit Card,Visa,Approved,9pbvqe5e
2023,02,Credit Card,Visa,Approved,ah6h04wc
2023,02,Apple Pay Card,Visa,Approved,aheky4dj
2023,02,Credit Card,Visa,Approved,axaja7kp
2023,02,Credit Card,American Express,Approved,b5nmrvb6
2023,02,Credit Card,MasterCard,Approved,bzgzagqj
2023,02,Credit Card,MasterCard,Approved,en94pry1
2023,02,Apple Pay Card,American Express,Approved,ete0zk5g
2023,02,Credit Card,Visa,Approved,f0rx4bqk
2023,02,Credit Card,Visa,Approved,h7vsdevt
2023,02,Credit Card,Visa,Approved,hcxyzhyn
2023,02,Apple Pay Card,MasterCard,Approved,hp0wcf0z
2023,02,Credit Card,Visa,Approved,hthj5k6h
2023,02,Credit Card,Visa,Approved,k493byxm
2023,02,Credit Card,Visa,Approved,k846xa5d
2023,02,Credit Card,American Express,Approved,ky1bfvxr
2023,02,Credit Card,Visa,Approved,mfnfypqa
2023,02,Credit Card,Visa,Approved,mx8nj5m4
2023,02,Credit Card,Visa,Approved,nbj5tc4w
2023,02,Credit Card,MasterCard,Approved,ngk6cred
2023,02,Credit Card,Visa,Approved,nr5g56pt
2023,02,Credit Card,MasterCard,Approved,nszsj410
2023,02,Apple Pay Card,Visa,Approved,p2650knk
2023,02,Apple Pay Card,Visa,Approved,p5hn5v7n
2023,02,Credit Card,Visa,Approved,q5axwkbz
2023,02,Credit Card,American Express,Approved,246fqyyg
2023,02,Credit Card,American Express,Approved,2rpkncbf
2023,02,Credit Card,Visa,Approved,3t51sce9
2023,02,Credit Card,MasterCard,Declined,3tkjzsgk
2023,02,Credit Card,Visa,Approved,4etskh9c
2023,02,Credit Card,Visa,Approved,4w7whgga
2023,02,Credit Card,Visa,Declined,520b3ktx
2023,02,Credit Card,Visa,Approved,56s920kx
2023,02,Credit Card,Visa,Approved,619nck6n
2023,02,Apple Pay Card,MasterCard,Approved,63nrwg3s
2023,01,PayPal Account,PayPal Account,Approved,65nea6dm
2023,02,Credit Card,Visa,Approved,6ex8tt98
2023,02,Credit Card,Visa,Approved,6fxqffwt
2023,02,Credit Card,Visa,Approved,6sw3vn6a
2023,02,Credit Card,Visa,Approved,75vqatq5
2023,02,Credit Card,Visa,Approved,76d1qz3b
2023,02,PayPal Account,PayPal Account,Approved,7a63aasr
2023,02,Credit Card,Visa,Approved,7wj1cnph
2023,02,Credit Card,Visa,Approved,8n5g92hh
2023,02,Credit Card,Visa,Approved,9568ydh7
2023,02,Credit Card,American Express,Approved,am3aeg0p
2023,01,PayPal Account,PayPal Account,Approved,anqh25h0
2023,02,Credit Card,Visa,Approved,apvjnc88
2023,02,Credit Card,MasterCard,Approved,azxs0z2x
2023,02,Credit Card,Visa,Declined,bpkwadzq
2023,02,Credit Card,Visa,Approved,cd778ebq
2023,02,PayPal Account,PayPal Account,Approved,cnvwqakh
2023,01,PayPal Account,PayPal Account,Approved,d5r766me
2023,02,Credit Card,Visa,Approved,d7ztj3n7
2023,02,Credit Card,Visa,Approved,dj8qcdjn
2023,02,Credit Card,Visa,Approved,djp1exx0
2023,02,Credit Card,American Express,Approved,dqnrbmze
2023,02,Credit Card,Visa,Approved,dqpknb4d
2023,02,Credit Card,American Express,Approved,e0872r72
2023,02,Credit Card,MasterCard,Approved,evff2k3z
2023,02,Credit Card,Visa,Approved,f3kk2je5
2023,02,Credit Card,MasterCard,Approved,fzgex5b5
2023,02,Credit Card,American Express,Approved,fzh5xjfv
2023,02,Credit Card,MasterCard,Approved,g8f91ssv
2023,02,Credit Card,Visa,Approved,ge9vq4gh
2023,02,Credit Card,Visa,Approved,h7rtezer
2023,02,Credit Card,Visa,Approved,h7x238bj
2023,02,Credit Card,Visa,Approved,hdmbqf2s
2023,02,Credit Card,MasterCard,Declined,jdz3j903
2023,02,Credit Card,Visa,Declined,k1mz8gq8
2023,02,Credit Card,MasterCard,Declined,kdc6bvx9
2023,02,Credit Card,MasterCard,Approved,kvndrdfs
2023,02,Credit Card,Visa,Approved,mr8py3tr
2023,02,Credit Card,Visa,Approved,mra03f8f
2023,02,Credit Card,American Express,Approved,mx5ey91j
2023,02,Credit Card,Visa,Approved,nv4m7wj1
2023,02,Credit Card,MasterCard,Approved,nwgw9pjf
2023,02,Credit Card,Visa,Approved,p2hc44z3
2023,02,Credit Card,Visa,Approved,p6w4kkzw
2023,02,Credit Card,Visa,Approved,q0trd72z
2023,02,Credit Card,American Express,Approved,rpwwf5mf
2023,02,Credit Card,American Express,Approved,08j13ret
2023,02,Credit Card,MasterCard,Approved,0ck8admc
2023,02,Apple Pay Card,Visa,Approved,1e6st31j
2023,02,Credit Card,Visa,Approved,24w5r7p2
2023,02,Credit Card,Visa,Approved,29531yey
2023,02,Credit Card,Visa,Approved,2fdh9tmq
2023,02,Credit Card,American Express,Approved,3k36aj4z
2023,02,Credit Card,Visa,Approved,4e183a5j
2023,02,Credit Card,Visa,Approved,4zamxzw3
2023,02,Credit Card,Visa,Declined,5njfbwwy
2023,02,Apple Pay Card,MasterCard,Approved,5pfycta5
2023,02,Credit Card,Visa,Approved,5z1rfw6f
2023,02,Credit Card,Visa,Approved,64mqxznp
2023,02,Apple Pay Card,Visa,Approved,6ypb77jr
2023,02,Credit Card,MasterCard,Approved,70m0jxe6
2023,02,Credit Card,MasterCard,Approved,7yk9tyqc
2023,02,Credit Card,MasterCard,Approved,8zp8gzvd
2023,02,Credit Card,Visa,Approved,9k4eg05v
2023,02,Credit Card,Visa,Approved,9n1bjbq0
2023,02,Credit Card,Visa,Approved,ad1c3vbh
2023,02,Credit Card,American Express,Approved,bdj9mgsd
2023,02,Credit Card,Visa,Approved,bfkn1q40
2023,02,Credit Card,Visa,Approved,bgdgjgas
2023,02,Credit Card,Visa,Approved,bn4k7gg0
2023,02,Credit Card,Visa,Approved,cd4c9wqr
2023,02,Credit Card,Visa,Approved,d16nyjy6
2023,02,Credit Card,Visa,Approved,d56smt4t
2023,02,Credit Card,American Express,Approved,df84d5mg
2023,02,Credit Card,Visa,Approved,dmjhsm75
2023,02,Credit Card,MasterCard,Approved,dp877pc3
2023,02,Credit Card,MasterCard,Approved,exrehxt3
2023,02,Credit Card,Visa,Approved,g0ydc3c8
2023,02,Credit Card,Visa,Approved,gfybmrhq
2023,02,Apple Pay Card,Visa,Approved,gjmrahb9
2023,02,Credit Card,Visa,Declined,gsn5d8jk
2023,02,Credit Card,Visa,Approved,jw4t8rzh
2023,02,Credit Card,Visa,Approved,kf6xw8ny
2023,02,Credit Card,American Express,Approved,kpyx65rn
2023,02,Credit Card,Visa,Approved,kq2679r4
2023,02,Credit Card,Visa,Approved,nwgawy4k
2023,02,Credit Card,American Express,Approved,nys0re1a
2023,02,Credit Card,American Express,Approved,pheq60rk
2023,02,Credit Card,Visa,Approved,qkkm90en
2023,02,Credit Card,Visa,Approved,qqpa9ygq
2023,02,Credit Card,Visa,Approved,0ksb9gsm
2023,02,Credit Card,Visa,Approved,1frwf6cr
2023,02,Credit Card,American Express,Approved,1xx80m16
2023,02,Credit Card,Visa,Approved,2r0ejdcb
